description,team,thumbnail,title,videoId
"김태형이 찍어준 2025 신인 입단식 날 뿌이로그

0:20 테이블석에서 관람 시작
0:29 윤도현 안타 반응
1:14 흥이 남달라요..
2:15 프로듀싱도 잘하는 신인들
2:28 셀프 자기소개
5:45 매력 어필 시간
8:14 깨알 홍보
8:31 당찬 박재현
9:00 소신 있는 김태형
9:42 삐끼삐끼 자동 반응
9:47 삐끼삐끼 강의
11:06 뒷줄 분량도 챙겨드림
11:27 본격 전주고 자랑
11:50 박찬호 홈런 직관
12:36 호걸이 PD 등장



*영상과 관련이 없거나, 근거 없는 루머/욕설/비난/도배 댓글은
댓글 삭제 또는 ID 차단이 됩니다. 모두가 즐거운 갸티비를 만들어주세요.",KIA,https://i.ytimg.com/vi/DpXh9QyiYpM/hqdefault.jpg,삐끼삐끼 추는 2025 신인 1라운드 김태형 (PD) 입단식 브이로그!,DpXh9QyiYpM
"챔필 신메뉴 칠리새우, 치폴레 핫도그, 치폴레 감자튀김, 아이스 황도에
스테디셀러 크림새우, 떡볶이까지!
필승조 JJJ 장현식 전상현 정해영과 맛보시죠! 



*영상과 관련이 없거나, 근거 없는 루머/욕설/비난/도배 댓글은
댓글 삭제 또는 ID 차단이 됩니다. 모두가 즐거운 갸티비를 만들어주세요.",KIA,https://i.ytimg.com/vi/2NKeX9YNL0Y/hqdefault.jpg,"나야, 트리플J.. 장현식 전상현 정해영 챔필 신메뉴 맛보다!",2NKeX9YNL0Y
"한국시리즈에서 더 좋은 순간 만들어봅시다!


*영상과 관련이 없거나, 근거 없는 루머/욕설/비난/도배 댓글은
댓글 삭제 또는 ID 차단이 됩니다. 모두가 즐거운 갸티비를 만들어주세요.",KIA,https://i.ytimg.com/vi/RMtv6b5PZ9M/hqdefault.jpg,🥇 1등 팀에게 올해 가장 기억에 남는 경기는?,RMtv6b5PZ9M
"우리는 넘사벽 구위 투수들 보유 구단~❤️

 

 #컴투스프로야구V24 를 더 재미있게 즐기는 방법
✌쿠폰 사용기한 : 2024년 11월 30일까지 (선착순 50,000개)
✌쿠폰 등록 방법
① 게임 실행 → [구단관리] → [새소식] → [이벤트 쿠폰 교환소]
② 쿠폰 코드 입력 : 2024CHAMPIONS
③ 우편함에서 아이템 확인

✌ 이미 다운로드 되어 있다면 아래 딥링크를 클릭해주세요!
  - GOOGLE/APPLE : http://withhive.me/c/601/2024CHAMPIONS

※ 확률형 아이템 포함

 

*영상과 관련이 없거나, 근거 없는 루머/욕설/비난/도배 댓글은
댓글 삭제 또는 ID 차단이 됩니다. 모두가 즐거운 갸티비를 만들어주세요.",KIA,https://i.ytimg.com/vi/sApul0TltNg/hqdefault.jpg,'공 美쳤다..' KBO 우승팀 구위왕은 누구? [무인갸메라/광고],sApul0TltNg
"0:00 네일이 원정에 함께 한 이유
0:33 SSG전 출근길
3:14 정규시즌 우승 소감
3:22 양현종
6:25 나성범
9:20 김태군
9:51 곽도규


*영상과 관련이 없거나, 근거 없는 루머/욕설/비난/도배 댓글은
댓글 삭제 또는 ID 차단이 됩니다. 모두가 즐거운 갸티비를 만들어주세요.",KIA,https://i.ytimg.com/vi/1vjj-YFlCVs/hqdefault.jpg,'이제 한국시리즈를 향해!' 정규시즌 우승 후 더그아웃비하인드 🥇,1vjj-YFlCVs
"우승과 함께 즐거운 추석 명절 보내세요!


*영상과 관련이 없거나, 근거 없는 루머/욕설/비난/도배 댓글은
댓글 삭제 또는 ID 차단이 됩니다. 모두가 즐거운 갸티비를 만들어주세요.",KIA,https://i.ytimg.com/vi/Dru7TvHX7lY/hqdefault.jpg,광주 토박이 한준수 김기훈이 구운 광주 육전 맛? 🍴,Dru7TvHX7lY
"#OneTeam

1위를 지키느라 고생하는 선수단을 위해
& 후반기 경기가 잘 풀리지 않던 때 팀 분위기를 끌어올리기 위해
트레이닝 파트에서 준비했던 이벤트 대회 취재 완.🔥

⏰ 타임라인
0:29 대진표
0:33 예선전 김도영 vs 김대유
1:51 예선전 장현식 vs 나성범
2:46 예선전 소크라테스 vs 최형우
4;24 예선전 박우진 통역 vs 이창진
4:59 예선전 서건창 vs 이의리
6:13 6강 진출자
6:16 6강 장현식 vs 김대유
7:58 6강 박준서 코치 vs 최형우
8:49 6강 서건창 vs 이창진
10:16 준결승1 김대유 vs 박준서 코치
10:49 준결승2 이창진 vs 박준서 코치
11:48 결승 김대유 vs 이창진
12:42 메달 수여식
13:06 이벤트전 이범호 감독 vs 손승락 수석코치



*영상과 관련이 없거나, 근거 없는 루머/욕설/비난/도배 댓글은
댓글 삭제 또는 ID 차단이 됩니다. 모두가 즐거운 갸티비를 만들어주세요.",KIA,https://i.ytimg.com/vi/RiZzT4ru-0o/hqdefault.jpg,'분위기 끌어올려🔥‘ 타이거즈 철권 대회 (본문 참고),RiZzT4ru-0o
"도규의 주말 홈경기 피켓팅 체험..!
심지어 핫서머페스티벌! 그 결과는? 

💫 티켓 예매하러 가기 https://bit.ly/40T7WWx
예매 오픈은 홈경기 7일 전 오전 11시!


*영상 내 오류가 있어 재업로드합니다.

*영상과 관련이 없거나, 근거 없는 루머/욕설/비난/도배 댓글은
댓글 삭제 또는 ID 차단이 됩니다. 모두가 즐거운 갸티비를 만들어주세요.",KIA,https://i.ytimg.com/vi/AfPaDw2upuk/hqdefault.jpg,'이미 선택된 좌석입니다' 이것 뭐예요~? 🍇｜곽도규의 주말 챔필 티켓팅,AfPaDw2upuk
"박정우 홍종표에 버금가는 투수조 짝꿍들



*영상과 관련이 없거나, 근거 없는 루머/욕설/비난/도배 댓글은
댓글 삭제 또는 ID 차단이 됩니다. 모두가 즐거운 갸티비를 만들어주세요.",KIA,https://i.ytimg.com/vi/1DfJ8ejWcpQ/hqdefault.jpg,경기에선 볼 수 없는 최강 케미💕 이준영 전상현 환상의 짝꿍,1DfJ8ejWcpQ
"2024 파리 올림픽을 맞아 준비한 미니 양궁 & 골프!
원하는 종목을 선택해 도전해본 결과, 금메달의 주인공은?


*영상과 관련이 없거나, 근거 없는 루머/욕설/비난/도배 댓글은
댓글 삭제 또는 ID 차단이 됩니다. 모두가 즐거운 갸티비를 만들어주세요.",KIA,https://i.ytimg.com/vi/4N3CZ54LebM/hqdefault.jpg,출근길에 선수들에게 활을 쥐어줬더니 🎯🏹 (파리올림픽 안녕 👋🏻),4N3CZ54LebM
"선수들이 들려주는 무서운 이야기..❄️🧊


*영상과 관련이 없거나, 근거 없는 루머/욕설/비난/도배 댓글은
댓글 삭제 또는 ID 차단이 됩니다. 모두가 즐거운 갸티비를 만들어주세요.",KIA,https://i.ytimg.com/vi/g-YSMwAOKWo/hqdefault.jpg,❌ 무서운 것 못 보는 분은 클릭 금지! ❌ 심야괴담회 with 삼성라이온즈,g-YSMwAOKWo
